sale_id,product_id,sale_date,quantity,sales_amount,discount,profit
1,37,2025-04-05,5,1977.63,99.76,305.57
2,57,2025-02-17,5,2287.2,1.52,464.97
3,188,2025-04-05,1,3355.21,304.62,248.23
4,208,2025-09-12,1,3821.41,216.56,424.47
5,145,2025-10-04,2,1946.35,103.39,274.61
6,153,2025-01-20,1,3093.85,145.87,250.33
7,88,2025-08-09,4,227.03,9.27,39.14
8,51,2025-07-22,4,3327.12,597.94,442.47
9,36,2025-10-20,5,2746.83,527.28,449.12
10,200,2025-09-13,4,1552.14,47.53,143.25
11,221,2025-01-29,1,3225.84,284.58,495.16
12,241,2025-08-11,1,2986.98,38.11,599.17
13,242,2025-07-08,2,1230.59,112.68,155.52
14,60,2025-11-24,5,3932.44,82.76,431.32
15,105,2025-09-11,2,4912.62,30.86,727.88
16,18,2025-06-03,2,3919.71,372.16,728.74
17,81,2025-08-02,5,3950.7,427.57,544.16
18,142,2025-03-31,1,1240.66,104.79,199.38
19,64,2025-05-26,5,1184.8,209.74,83.68
20,67,2025-07-12,5,4339.39,324.92,595.86
21,121,2025-10-25,1,1018.01,14.54,107.17
22,35,2025-03-27,3,2130.05,186.02,406.37
23,245,2025-07-01,5,3064.89,604.45,346.99
24,95,2025-10-15,5,3680.89,342.93,817.22
25,111,2025-10-29,1,155.15,2.02,29.22
26,1,2025-04-26,2,4649.87,651.27,798.96
27,100,2025-11-24,5,3385.47,294.78,739.8
28,153,2025-10-30,3,4329.63,347.56,691.67
29,261,2025-07-15,4,3217.45,186.93,318.02
30,17,2025-04-05,4,918.38,143.02,127.78
31,191,2025-03-06,5,3279.77,112.59,266.6
32,134,2025-12-26,5,3740.99,237.71,641.73
33,48,2025-11-10,4,1767.73,15.38,431.88
34,200,2025-01-12,1,3461.59,23.28,566.01
35,115,2025-03-25,4,4299.74,846.47,814.88
36,28,2025-08-10,5,1759.6,6.06,287.71
37,189,2025-01-23,3,3734.47,197.06,481.1
38,156,2025-01-29,2,1953.24,43.04,323.37
39,46,2025-02-15,4,2789.93,101.45,557.63
40,215,2025-07-19,4,2198.27,205.95,218.89
41,74,2025-03-27,3,3783.18,646.9,334.33
42,83,2025-02-27,2,522.13,79.41,50.12
43,128,2025-03-16,2,2814.96,116.41,404.21
44,18,2025-09-09,4,3464.59,691.92,267.72
45,206,2025-06-03,3,1169.72,69.98,145.3
46,194,2025-06-21,5,4254.69,207.35,543.6
47,99,2025-10-18,5,2858.03,522.16,519.88
48,214,2025-10-26,3,3792.95,353.85,839.42
49,88,2025-07-28,3,623.44,70.68,46.66
50,123,2025-08-27,2,1818.8,127.54,233.42
51,85,2025-12-15,1,872.35,163.3,84.39
52,116,2025-12-10,3,2438.03,172.14,507.54
53,29,2025-05-20,4,1165.01,35.84,271.22
54,146,2025-01-23,3,4036.88,592.49,291.75
55,10,2025-05-06,3,4698.45,4.9,1146.6
56,260,2025-11-16,1,1120.35,40.45,206.71
57,98,2025-08-01,3,602.2,24.85,127.77
58,49,2025-08-17,4,1546.09,180.35,139.18
59,186,2025-09-02,5,4969.15,323.47,966.15
60,98,2025-12-18,5,3545.02,125.88,714.91
61,110,2025-09-01,2,2687.48,353.35,531.62
62,255,2025-01-10,1,2715.75,230.99,528.89
63,69,2025-06-10,2,1725.62,336.79,187.13
64,30,2025-11-11,1,4338.4,681.46,299.42
65,169,2025-03-25,1,3246.14,622.9,264.72
66,127,2025-01-26,1,2212.33,107.37,311.43
67,69,2025-05-26,2,3136.72,449.58,646.95
68,175,2025-12-20,5,4054.56,751.63,492.52
69,228,2025-07-12,3,3294.76,15.13,621.62
70,148,2025-01-30,1,2857.6,414.77,586.49
71,9,2025-01-03,1,674.55,134.17,72.41
72,60,2025-12-17,5,3221.75,460.26,608.16
73,180,2025-08-13,2,602.7,74.28,84.25
74,30,2025-02-12,2,950,176.81,84.67
75,228,2025-03-22,4,1776.21,335.28,358.39
76,56,2025-12-14,3,2956.45,575.82,593.44
77,193,2025-07-14,3,1076.05,161.73,95.45
78,102,2025-08-31,2,1784.69,107.55,304.41
79,262,2025-04-04,2,4380.83,620.05,780.3
80,146,2025-09-07,3,2114.29,311.98,266.87
81,127,2025-01-29,2,4493.56,422.71,895.33
82,165,2025-05-24,3,4307.56,68.35,583.23
83,260,2025-09-07,2,1349.74,89.98,152.4
84,101,2025-11-01,2,1041.59,137.64,78.96
85,42,2025-06-30,1,4298.48,666.71,894.04
86,116,2025-04-22,3,1144.74,110.96,233.7
87,146,2025-08-15,5,760.14,82.27,131.36
88,225,2025-02-18,3,4487.32,121.61,712.11
89,73,2025-11-13,3,1342.34,100.42,192.2
90,116,2025-02-01,3,4817.38,704.12,831.38
91,10,2025-12-10,3,1601.13,316.73,283.22
92,115,2025-09-27,1,4002.05,77.85,622.02
93,66,2025-04-04,5,1228.56,40.29,126.65
94,159,2025-12-17,1,4109.15,684.07,800.41
95,162,2025-09-24,2,50.03,1.97,9.83
96,245,2025-04-10,2,273.52,13.33,51.39
97,221,2025-12-05,3,1797.61,125.86,300.32
98,42,2025-04-10,5,1470,76.48,140.73
99,72,2025-09-08,3,992.9,135.05,70.64
100,89,2025-04-20,2,3421.76,533.77,374.82
101,268,2025-07-31,2,447.65,32.42,46.01
102,140,2025-06-02,3,2913.31,193.58,574.29
103,185,2025-12-24,5,2851.4,213.43,647.15
104,38,2025-06-12,2,717.11,36.5,106.43
105,158,2025-05-03,2,3494.69,23.36,664.94
106,204,2025-04-12,5,3542.95,370.32,633.15
107,198,2025-02-02,1,4833.41,209.3,1117.25
108,198,2025-08-20,3,4586.56,802.47,523.77
109,66,2025-11-16,4,323.45,50.08,44.56
110,17,2025-09-02,3,3272.48,228.91,628.54
111,59,2025-02-26,2,2153.9,296.55,220.8
112,176,2025-04-16,1,4992.35,823.13,595.28
113,127,2025-05-15,1,2385.8,186.21,400.71
114,243,2025-12-27,1,3906.69,486.5,518.15
115,65,2025-01-05,5,1176.1,161.3,197.62
116,30,2025-11-13,4,2427.55,230.09,419.74
117,109,2025-07-06,5,3496.33,297.71,450.71
118,15,2025-02-24,2,4644.75,733.18,821.97
119,42,2025-11-13,1,3912.84,473.83,300.06
120,74,2025-10-07,2,3600.5,433.07,284.12
121,259,2025-10-18,1,1715.59,231.39,323.13
122,55,2025-01-27,1,4154.15,303.12,832.12
123,148,2025-08-10,3,3959.39,289.4,568.25
124,163,2025-07-09,5,4249.92,359,949.29
125,248,2025-09-29,3,1421.67,125.31,198.89
126,200,2025-09-24,5,360.94,26.13,55.84
127,10,2025-05-25,1,4319.54,500.02,495.85
128,110,2025-10-01,1,3897.5,566.18,462.2
129,170,2025-07-27,3,3142.92,229.64,491.65
130,61,2025-03-15,5,3677.56,311.15,758.78
131,103,2025-07-12,4,2035.66,259.28,402.57
132,98,2025-09-11,5,2296.73,37.94,355.27
133,35,2025-09-28,1,3120.85,175.83,651.06
134,51,2025-05-29,1,1224.28,236.11,222.33
135,113,2025-08-24,1,4479.98,412.37,576.06
136,24,2025-12-21,1,2887.7,471.71,594.14
137,237,2025-10-03,1,1576.02,231.54,243.79
138,102,2025-06-22,1,2776.39,59.63,465.6
139,45,2025-02-08,1,3838.04,337.39,367.35
140,15,2025-06-30,3,4452.69,655.05,578.98
141,173,2025-06-11,5,742.78,52.24,70.27
142,247,2025-12-11,3,1211.23,71.13,195.31
143,51,2025-11-02,2,1685.67,51.52,296.81
144,136,2025-01-01,2,4172.82,20.47,901.49
145,114,2025-11-21,4,3568.03,266.43,560.21
146,200,2025-07-07,2,2709.97,88.05,537.45
147,15,2025-01-12,4,1464.19,268.23,294.9
