sale_id,customer_id,product_id,sale_date,quantity,sales_amount,discount,profit
1,11228463,863930,2025-12-18,3,727.71,112.08,87.98
2,99707100,366066,2025-01-02,2,1837.16,83.96,271.86
3,53354003,930284,2025-09-28,1,189.47,8.01,20.22
4,61486140,863930,2025-05-30,3,727.71,56.45,116.77
5,79789048,171602,2025-05-06,3,2650.32,122.06,280.73
6,3282647,615545,2025-07-29,5,2240.8,82.04,294.17
7,72946405,327290,2025-01-25,2,1724.56,56.97,238.57
8,19523014,587645,2025-10-17,4,3207.24,141.62,430.2
9,70608515,672059,2025-07-06,1,672.73,115.07,79.48
10,49574186,52729,2025-04-15,3,948.06,106.04,104.25
11,57809174,600767,2025-07-22,1,722.42,10.16,130.2
12,6390687,654623,2025-03-23,1,422.14,54.26,53.66
13,50968312,171602,2025-06-03,1,883.44,11.37,79.35
14,95364457,739534,2025-10-12,5,4972.8,508.72,812.55
15,1989720,131748,2025-06-21,2,162.7,29.86,18.69
16,48409448,818522,2025-06-26,2,192.18,11.1,34.27
17,80419534,832348,2025-02-18,5,4157.15,624.29,624.22
18,22974816,537274,2025-02-24,3,2108.13,53.95,406.04
19,29431960,39154,2025-01-14,3,2840.58,116.83,520.96
20,27304827,890623,2025-02-21,3,1063.56,88.28,83.97
21,44859592,613942,2025-04-12,4,2180.0,56.51,380.62
22,408590,11422,2025-05-09,1,127.16,11.76,19.06
23,19741509,681063,2025-02-02,3,963.84,170.44,127.15
24,38549299,366066,2025-04-26,5,4592.9,807.79,482.69
25,10608845,993331,2025-06-08,5,512.2,100.52,61.53
26,32203588,654623,2025-05-27,2,844.28,165.37,80.32
27,9650263,525531,2025-08-15,4,3324.4,469.17,428.26
28,57579640,324809,2025-10-21,4,2432.0,200.39,383.07
29,31681710,219598,2025-03-27,3,1101.24,25.98,212.92
30,82179338,894539,2025-01-12,4,1781.92,117.09,290.17
31,77035814,34186,2025-05-04,2,1851.3,82.93,204.36
32,54099929,970529,2025-05-22,1,827.44,51.4,139.9
33,90621147,26060,2025-06-08,1,342.94,56.0,44.93
34,22738465,592784,2025-02-02,2,560.7,95.27,69.33
35,11153360,4452,2025-12-30,1,169.88,4.29,25.87
36,21677923,473929,2025-05-28,5,2200.95,137.34,372.28
37,9650263,623234,2025-09-02,1,329.79,41.0,43.93
38,54952806,890232,2025-12-20,5,2160.0,104.01,411.19
39,74038361,513199,2025-07-06,4,1688.92,151.53,249.62
40,17201639,67197,2025-04-26,5,2761.0,542.88,297.05
41,11636968,120385,2025-08-12,5,2989.55,529.11,418.46
42,58085779,455083,2025-06-12,5,4795.05,672.02,645.99
43,25641500,319388,2025-02-26,3,1973.4,358.41,204.23
44,59009727,587420,2025-05-16,1,357.42,7.26,33.24
45,38957713,767398,2025-07-13,2,44.28,8.44,5.78
46,1589656,14145,2025-04-08,5,3154.2,460.6,306.82
47,94078407,26060,2025-07-21,3,1028.82,114.54,169.58
48,80875034,196719,2025-05-05,2,435.0,4.54,66.74
49,84066402,871592,2025-03-21,1,870.29,92.01,74.03
50,86479284,491521,2025-08-04,4,2225.4,237.47,269.41
51,94529626,621677,2025-12-18,3,953.4,36.53,140.75
52,84993732,397973,2025-08-27,3,2186.19,296.59,157.59
53,9049965,186168,2025-01-22,2,1757.6,264.4,259.16
54,89950235,679284,2025-06-09,4,3511.56,235.59,496.74
55,83058329,137909,2025-04-09,2,1728.6,49.38,225.47
56,29562254,39154,2025-05-18,1,946.86,15.51,102.53
57,19966989,433521,2025-07-02,3,963.99,112.93,127.83
